Ref,Val,Package,PosX,PosY,Rot,Side
"J9","Conn_02x20_Odd_Even","PinSocket_2x20_P2.54mm_Vertical",139.250000,-128.320000,90.000000,bottom
"J11","Conn_01x03_Pin","JST_EH_S3B-EH_1x03_P2.50mm_Horizontal",75.900000,-73.150000,-90.000000,bottom
"J12","Conn_01x02_Pin","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",143.450000,-115.960000,-90.000000,bottom
"C1","100n","C_0805_2012Metric",97.100000,-103.120000,90.000000,top
"D1","LED","LED_0805_2012Metric",144.018000,-124.206000,90.000000,top
"J1","Conn_01x02_Light","PinSocket_1x02_P2.54mm_Vertical",81.900000,-104.320000,0.000000,top
"J2","Conn_01x03_DHT","PinSocket_1x03_P2.54mm_Vertical",107.160000,-94.230000,90.000000,top
"J3","Conn_01x05_HMC5883L","PinSocket_1x05_P2.54mm_Vertical",123.600000,-101.960000,90.000000,top
"J4","Conn_01x08_mpu6050","PinSocket_1x08_P2.54mm_Vertical",121.475000,-64.375000,0.000000,top
"J5","Conn_01x04_BME280","PinSocket_1x04_P2.54mm_Vertical",132.645000,-89.750000,-90.000000,top
"J6","Conn_01x09_GPS","PinSocket_1x09_P2.54mm_Vertical",83.455000,-64.560000,0.000000,top
"J7","Conn_01x03_GUVA-S12SD","PinSocket_1x03_P2.54mm_Vertical",86.160000,-92.095000,0.000000,top
"J8","Conn_01x06_LLCA","PinSocket_1x06_P2.54mm_Vertical",100.445000,-106.645000,0.000000,top
"J10","Conn_01x06_LLCB","PinSocket_1x06_P2.54mm_Vertical",115.665000,-106.645000,0.000000,top
"R1","10k","R_0603_1608Metric",81.075000,-109.900000,180.000000,top
"R2","10K","R_0603_1608Metric",87.300000,-67.925000,-90.000000,top
"R3","R","R_0603_1608Metric",140.145000,-123.190000,0.000000,top
"U1","MCP3008","DIP-16_W7.62mm",86.940000,-104.070000,0.000000,top
